PODER,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,ENTIDAD
Poder Ejecutivo,Salud,LIMA,LIMA,MIRAFLORES,Hospital de Emergencias José Casimiro Ulloa (HEJCU)
Poder Ejecutivo,Salud,LIMA,LIMA,LA VICTORIA,Hospital de Emergencias Pediátricas (HEP)
Poder Ejecutivo,Salud,LIMA,LIMA,VILLA EL SALVADOR,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR (HEVES)
Poder Ejecutivo,Salud,PIURA,PIURA,PIURA,HOSPITAL DE LA AMISTAD PERU-COREA II-2 SANTA ROSA (HAPCII-2-SRP)
Poder Ejecutivo,Salud,CUSCO,CUSCO,CUSCO,Hospital de Sicuani - CUSCO (HSC)
Poder Ejecutivo,Salud,LIMA,LIMA,ATE,Hospital Emergencia Ate Vitarte (HEAV)
Poder Ejecutivo,Salud,CAJAMARCA,JAEN,JAEN,HOSPITAL GENERAL DE JAEN (HGJ)
Poder Ejecutivo,Salud,LIMA,LIMA,SANTA ANITA,HOSPITAL HERMILIO VALDIZAN (HHV)
Poder Ejecutivo,Salud,LIMA,HUARAL,HUARAL,HOSPITAL HUARAL Y SERVICIOS BASICOS DE SALUD (HH-SBS)
Poder Ejecutivo,Salud,LIMA,LIMA,LURIGANCHO,Hospital José Agurto Tello de Chosica (HJATCH)
Poder Ejecutivo,Salud,CAJAMARCA,CHOTA,CHOTA,HOSPITAL JOSE HERNAN SOTO CADENILLAS (HJSC)
Poder Ejecutivo,Salud,LIMA,LIMA,SAN JUAN DE MIRAFLORES,Hospital María Auxiliadora (HMA)
Poder Ejecutivo,Salud,LIMA,LIMA,LIMA,Hospital Nacional Arzobispo Loayza (HNAL)
Poder Ejecutivo,Salud,CALLAO,CALLAO,BELLAVISTA,Hospital Nacional Daniel Alcides Carrión (HNDAC)
Poder Ejecutivo,Salud,LIMA,LIMA,LIMA,Hospital Nacional Docente Madre Niño San Bartolomé (HONADOMANI SB)
Poder Ejecutivo,Salud,LIMA,LIMA,LIMA,Hospital Nacional Dos de Mayo (HNDM)
Poder Ejecutivo,Salud,LIMA,LIMA,LIMA,Hospital Nacional General (HNGAL)
